日期,族友暱稱,今日活躍值
2026-06-25,14:19,9391
2026-06-25,4G,5519
2026-06-25,曲豆,8209
2026-06-25,貌,886
2026-06-25,房,5260
2026-06-25,任務,1351
2026-06-25,40/70,3894
2026-06-25,Q搜尋,629
2026-06-25,金,3539
2026-06-25,獻,441
2026-06-25,活躍貢獻,3152
2026-06-25,週貢獻,500
2026-06-25,總貢獻,4910
2026-06-25,李艾德,9391
2026-06-25,18.6K,1100
2026-06-25,我不是狐狸,600
2026-06-25,璇,5950
2026-06-25,哈根大使,213
2026-06-25,失忆烤鱼,935
2026-06-25,長老,200
2026-06-25,拿來吧你,400
2026-06-25,李艾德,100
2026-06-25,18.6K,100
2026-06-25,14:19,500
2026-06-25,4G,500
2026-06-25,曲豆,1100
